X	TE.fixed	lower.fixed	upper.fixed	pval.fixed	TE.random	lower.random	upper.random	pval.random	Symbol
ENSG00000254281.1	-0.931037529894631	-0.941595578591457	-0.920479481197804	0	-1.36385249364468	-1.50617074919156	-1.22153423809781	1.04890175431297e-78	NA
ENSG00000267640.4	-1.52638232868167	-1.53688191371312	-1.51588274365022	0	-2.38757749735612	-2.66242583547572	-2.11272915923652	5.26909065799519e-65	NA
ENSG00000273682.1	-2.25180197337961	-2.29334104331431	-2.2102629034449	0	-2.36533793251033	-2.64132262512768	-2.08935323989298	2.52623958558405e-63	NA
ENSG00000229481.2	-1.02073570003364	-1.02875302207974	-1.01271837798754	0	-1.78447847392255	-1.99442684956091	-1.57453009828418	2.60682186350163e-62	NA
ENSG00000275088.1	-2.83148838157026	-2.85746339628968	-2.80551336685083	0	-2.79811586214979	-3.15466552244172	-2.44156620185786	2.18430399508803e-53	NA
ENSG00000233170.4	-1.15547215230456	-1.16128176499233	-1.14966253961678	0	-1.02535108952127	-1.15692106871008	-0.893781110332463	1.13282665121267e-52	NA
ENSG00000270195.1	1.17189878178294	1.15237955696741	1.19141800659847	0	1.43690650100459	1.25193529225218	1.62187770975699	2.3940457548927e-52	NA
ENSG00000228063.1	-1.82459618589674	-1.8367371575793	-1.81245521421419	0	-2.33042834642001	-2.64159017514141	-2.01926651769861	8.78304696388922e-49	NA
ENSG00000279631.1	-1.24322121578329	-1.25086998391789	-1.23557244764869	0	-1.37281067223835	-1.56218413995299	-1.18343720452372	8.14726392248888e-46	NA
ENSG00000234807.5	-1.17891848887538	-1.18904611605532	-1.16879086169544	0	-1.51266113405238	-1.72478178305786	-1.3005404850469	2.16076660124072e-44	NA
ENSG00000255085.7	-1.51346277835165	-1.52190588382023	-1.50501967288307	0	-2.44907425008698	-2.79623290871327	-2.10191559146068	1.75634738688867e-43	NA
ENSG00000198416.9	-0.912445647504536	-0.918288449524002	-0.90660284548507	0	-0.996678314465125	-1.14104291061443	-0.852313718315823	1.02075610721862e-41	NA
ENSG00000266601.1	-1.337719530241	-1.34305307336729	-1.33238598711472	0	-1.21237111135067	-1.39256971369508	-1.03217250900625	1.0483102472315e-39	NA
ENSG00000227910.1	-1.23970603283608	-1.27346917061891	-1.20594289505325	0	-1.94018571337376	-2.22938016135494	-1.65099126539258	1.71839099236191e-39	NA
ENSG00000229017.5	-0.952694628231122	-0.964124391176485	-0.941264865285759	0	-1.12742772528091	-1.29754650477621	-0.957308945785602	1.40774327396457e-38	NA
ENSG00000270246.3	-2.31529013727556	-2.35693475983894	-2.27364551471217	0	-2.76646771369883	-3.18876815325058	-2.34416727414708	9.83563182774818e-38	NA
ENSG00000257817.1	-0.930394082378248	-0.946899437549689	-0.913888727206808	0	-2.48125778817042	-2.86035047797888	-2.10216509836196	1.13597844651858e-37	NA
ENSG00000259171.1	-2.00991482264414	-2.02476743434911	-1.99506221093918	0	-2.88651736545842	-3.33292832943774	-2.44010640147909	8.32129449412836e-37	NA
ENSG00000219693.3	-1.44072576387528	-1.47022007775016	-1.4112314500004	0	-2.00350572799432	-2.31991218965715	-1.68709926633149	2.28885244179108e-35	NA
ENSG00000184139.8	-3.44636177266951	-3.51789762261826	-3.37482592272077	0	-3.94998522981018	-4.57900958810079	-3.32096087151958	8.23594321475383e-35	NA
ENSG00000274270.1	1.3117853698178	1.28194700755574	1.34162373207985	0	1.45742257503898	1.22365216474858	1.69119298532937	2.45380582894964e-34	NA
ENSG00000271347.1	-1.51414346689469	-1.53634393012235	-1.49194300366703	0	-2.19251737853542	-2.54646544411709	-1.83856931295375	6.41013285584986e-34	NA
ENSG00000254944.1	-1.7249528732435	-1.73382934855695	-1.71607639793005	0	-1.68204379945965	-1.95464571970532	-1.40944187921398	1.14137883887971e-33	NA
ENSG00000204837.3	-1.10534307771562	-1.12056421767857	-1.09012193775267	0	-1.51030836341385	-1.75749464768327	-1.26312207914442	4.78234039182256e-33	NA
ENSG00000279468.1	0.958276951225623	0.937570727463388	0.978983174987857	0	1.18319137105014	0.98945064463695	1.37693209746332	5.12322596898445e-33	NA
ENSG00000226342.1	-2.31089984718343	-2.34802251079319	-2.27377718357368	0	-2.16373464914181	-2.52058121578448	-1.80688808249913	1.42968758814013e-32	NA
ENSG00000226197.2	-2.85417808274365	-2.88744551056937	-2.82091065491793	0	-2.55540385599621	-2.97837267946267	-2.13243503252975	2.38731764313776e-32	NA
ENSG00000257086.1	0.913359652333006	0.908955320109053	0.917763984556958	0	0.839877753789629	0.700442241613033	0.979313265966224	3.64857219656897e-32	NA
ENSG00000204118.1	-3.29233361324536	-3.33124482129731	-3.25342240519341	0	-3.90755671637405	-4.55641801661803	-3.25869541613007	3.75534190227342e-32	NA
ENSG00000268555.1	-1.82549664940261	-1.84617037281274	-1.80482292599249	0	-3.67744679011821	-4.29129253723607	-3.06360104300035	7.77985824037259e-32	NA
ENSG00000229151.1	-2.86263760819186	-2.9211190720713	-2.80415614431243	0	-3.7656849446616	-4.39428217776815	-3.13708771155504	7.81883101600822e-32	NA
