	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.000122478714717346	1.00012248621554	0.0203799845729542	0.00600975502601137	0.995204938114555	0.96096090054815	1.04088000548555
BRCA	-0.0787259195005269	0.924293220479278	0.0240114377847256	-3.27868410906267	0.00104292308688795	0.881802233851502	0.968831700156278
CESC	-0.00547457499230154	0.99454038318437	0.0265344832217011	-0.206319261866166	0.836541533406953	0.94413963395018	1.04763166190384
CHOL	0.0636952443461868	1.06576755057767	0.077435820468388	0.822555297547205	0.410760928423074	0.91569112140054	1.24044063038095
COAD	0.00205640507444476	1.00205852092546	0.0205379644881993	0.100127014808422	0.920243488383064	0.962523049438667	1.04321790521787
ESCA	-0.0766328594061291	0.926229847766217	0.0592848920714109	-1.2926203747461	0.196142389219869	0.824622879682119	1.04035644902763
GBM	0.000498289043229646	1.00049841320984	0.0790806855245395	0.00630102078560032	0.994972546065279	0.856846057143255	1.16823444128663
HNSC	-0.0183545564593187	0.981812862546762	0.0191717233608742	-0.957376450401784	0.338377280421199	0.945604906317056	1.0194072499229
KICH	-0.0671839657847544	0.935023173241791	0.104962975023606	-0.640072994974132	0.522125144671123	0.761163103261075	1.14859526263621
KIRC	-0.119629966819754	0.887248687435064	0.0278966942129531	-4.2883205410126	1.80029166628045e-05	0.840039400603146	0.937111084063472
KIRP	0.00818835134080705	1.00822196758087	0.0418226729782685	0.195787374591332	0.844776592443386	0.92887362626057	1.09434858216921
LIHC	-0.0423654360182416	0.958519439035467	0.0269873836381837	-1.56982375862104	0.116456118635419	0.909136768264171	1.01058448748373
LUAD	-0.0428318510020207	0.958072475450217	0.0265567896182729	-1.61283994103525	0.106779286154301	0.909480062909967	1.00926112143502
LUSC	0.0311250417143615	1.03161449066646	0.0258339179335493	1.20481305988593	0.228275477139451	0.980680552489051	1.08519380205096
PAAD	-0.0782945189793567	0.924692047077122	0.04073249824546	-1.92216344078732	0.0545851954304903	0.853739857131475	1.00154089654503
PCPG	-0.112669649436401	0.893445761680764	0.137375601496437	-0.820157642325763	0.412126245391233	0.68254905385613	1.16950616890545
PRAD	-0.089194626017684	0.914667538149396	0.0820199954217824	-1.08747416479368	0.276827310196854	0.778839051901666	1.07418433025609
READ	-0.056733059068724	0.94484625384476	0.0385131347270143	-1.47308339014351	0.1407285515787	0.876150485178972	1.01892820754658
SARC	0.0178155515069449	1.01797519508164	0.0378074127272383	0.471218478647964	0.63748472414366	0.945269113549038	1.09627351930582
STAD	0.0285155789965774	1.02892604034492	0.0393850811298852	0.724019811017727	0.469053572642222	0.952488008514912	1.11149829397911
THCA	-0.248664462659996	0.779841595464824	0.228953795146147	-1.08609015413467	0.277439107955693	0.49787528986795	1.22149647992858
THYM	-0.0708539665291772	0.931597926673195	0.0638235054136467	-1.11015473170841	0.26693235579242	0.822056839499438	1.05573563199141
UCEC	0.00727689438366103	1.00730343531907	0.0229009085630671	0.317755706662078	0.750670251558768	0.96309033900178	1.05354624557574
