	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0133256965651426	0.986762697456401	0.0149051614205759	-0.894032354909423	0.371304580160857	0.958352824388543	1.01601476649551
BRCA	-0.00817344720960738	0.99185986459084	0.0155669153914644	-0.52505245927456	0.5995467235078	0.962054631211955	1.02258848829284
CESC	-0.0413876302505289	0.959457143243	0.0233405394942467	-1.77320795265811	0.0761942547610718	0.916554042707286	1.00436850073882
CHOL	-0.0320911552029828	0.968418301688788	0.0671766803973434	-0.477712727291179	0.6328546844438	0.848949964206047	1.10469880038557
COAD	0.015008696157221	1.01512189223691	0.0184491049411498	0.813518932495465	0.415920596021606	0.979071226189143	1.05249999033224
ESCA	0.0192096207932513	1.01939531267649	0.0226237677765247	0.849090256892753	0.395831071453079	0.975181034077191	1.06561424719479
GBM	-0.0304473566080398	0.970011495418484	0.0171676413631943	-1.7735317254073	0.0761406396880283	0.937915597489082	1.00320572955922
HNSC	-0.00946142844686395	0.990583190038183	0.0178912993893236	-0.528828468015571	0.596924447475504	0.956449076545018	1.02593549458044
KICH	-0.0390761241784645	0.961677499450295	0.0700507417519337	-0.557825987294215	0.576963215312199	0.838305190967305	1.10320635362145
KIRC	0.00962893962235949	1.00967544701392	0.015100283479284	0.637666149484504	0.523691025199931	0.980230949669717	1.04000440778395
KIRP	-0.0510456687907119	0.950235273445658	0.0344917937633938	-1.47993662321171	0.138890160861912	0.888120060086307	1.01669483156658
LIHC	-0.0579627804460912	0.943685070320513	0.0195520958192962	-2.96453029801987	0.00303145390047388	0.908205881743936	0.980550258313473
LUAD	-0.0417857455357337	0.959075244713641	0.0149233237047147	-2.80002942793049	0.00510979480933092	0.931429363692872	0.987541686871097
LUSC	0.00582695415499039	1.00584396387459	0.0124849621830319	0.466717805754327	0.640701788802908	0.98152958599035	1.03076065571893
PAAD	-0.0164300592604597	0.983704177982429	0.0249805833845357	-0.657713192984545	0.510722443263374	0.936701045133071	1.03306590166408
PCPG	-0.055324577731498	0.946177989802309	0.150002406771404	-0.368824600366645	0.712258466979528	0.705164695652675	1.26956552689826
PRAD	-0.05607723512802	0.945466109874311	0.0580235461703295	-0.966456530654019	0.333815788461196	0.843832472930185	1.05934079760737
READ	0.034237748326234	1.0348306067286	0.035645996740474	0.960493504376018	0.336806898603031	0.96500005419925	1.10971432588249
SARC	-0.0357570421807757	0.964874688858105	0.0173137358084339	-2.06524129606723	0.0389001749460593	0.932681656252933	0.998178916629784
STAD	0.0280634340793811	1.02846092182402	0.0171286692305477	1.63838963212227	0.101340440554775	0.994507001277314	1.06357407877531
THCA	-0.0410079973232566	0.95982145391467	0.08323792813112	-0.492659995797337	0.622252848361575	0.815338969585122	1.12990701752382
THYM	-0.00769683881076546	0.992332706003921	0.0624042049140052	-0.123338464473218	0.90183908310195	0.878089430979895	1.12143953071633
UCEC	-0.010296997641873	0.989755834943845	0.0178727592112261	-0.576128034859067	0.564528643358548	0.955684958078702	1.02504136381386
